item_name,full_price,new_price,discount,amount_saved,category
chapstick lip balm classic spf15 4.2g,Was $4.20, $ 3 60 ,Save $0.60,14.29,Unknown
tasti oat baked squares choc chip,Was $3.50, $ 3 00 ,Save $0.50,14.29,Unknown
moccona flavour infused instant freeze dried coffee caramel,Was $14.00, $ 12 00 ,Save $2.00,14.29,Drinks
twinings earl grey tea,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
healtheries white chocolate bits no added sugar,Was $7.00, $ 6 00 ,Save $1.00,14.29,Pantry
roses concentrate lime cordial,Was $7.00, $ 6 00 ,Save $1.00,14.29,Beer & Wine
hubbards berry berry nice toasted fruit muesli,Was $7.00, $ 6 00 ,Save $1.00,14.29,Unknown
corona extra beer lager,Was $35.00, $ 30 00 ,Save $5.00,14.29,Beer & Wine
lucozade energy drink orange,Was $3.50, $ 3 00 ,Save $0.50,14.29,Drinks
harvest rice bran oil,Was $7.00, $ 6 00 ,Save $1.00,14.29,Pantry
just juice splash fruit drink orange & mango 125ml,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
coopers beer sparkling ale,Was $7.00, $ 6 00 ,Save $1.00,14.29,Beer & Wine
twinings english breakfast tea,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
moccona barista reserve classic creme instant coffee,Was $14.00, $ 12 00 ,Save $2.00,14.29,Drinks
twinings herbal tea peppermint,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
providore pasta sauce tomato & roasted red pepper,Was $7.00, $ 6 00 ,Save $1.00,14.29,Pantry
vaseline intensive care hand cream & nails,Was $7.00, $ 6 00 ,Save $1.00,14.29,Fridge & Deli
moccona classic instant freeze dried coffee dark roast,Was $14.00, $ 12 00 ,Save $2.00,14.29,Drinks
twinings green tea with lemon 100g,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
mutt butter dog treats peanut butter cookies,Was $7.00, $ 6 00 ,Save $1.00,14.29,Fridge & Deli
twinings english breakfast tea leaves,Was $7.00, $ 6 00 ,Save $1.00,14.29,Drinks
tasti oat baked squares salted caramel,Was $3.50, $ 3 00 ,Save $0.50,14.29,Unknown
lo bros not soda lemon,Was $3.50, $ 3 00 ,Save $0.50,14.29,Drinks
lo bros not soda raspberry,Was $3.50, $ 3 00 ,Save $0.50,14.29,Drinks
spc spagasaurus tomato & cheese,Was $2.10, $ 1 80 ,Save $0.30,14.29,Fridge & Deli
moccona espresso style instant freeze dried coffee medium roast,Was $14.00, $ 12 00 ,Save $2.00,14.29,Drinks
fortune thai jasmine rice,Was $3.50, $ 3 00 ,Save $0.50,14.29,Pantry
providore sugo basilico pasta sauce,Was $7.00, $ 6 00 ,Save $1.00,14.29,Pantry
chapstick lip balm conditioner spf15 4.2g,Was $4.20, $ 3 60 ,Save $0.60,14.29,Health & Body
hubbards fruitful breakfast toasted fruit muesli,Was $7.00, $ 6 00 ,Save $1.00,14.29,Unknown
ted by mount edward pinot noir,Was $34.99, $ 30 00 ,Save $4.99,14.26,Beer & Wine
rua pinot noir central otago,Was $27.99, $ 24 00 ,Save $3.99,14.26,Beer & Wine
skyn pulse personal massager pack,Was $34.99, $ 30 00 ,Save $4.99,14.26,Unknown
berocca sport b vitamins & electrolytes orange,Was $27.99, $ 24 00 ,Save $3.99,14.26,Health & Body
ruffino sparkling prosecco doc,Was $20.99, $ 18 00 ,Save $2.99,14.24,Beer & Wine
pa road pinot noir,Was $20.99, $ 18 00 ,Save $2.99,14.24,Beer & Wine
colgate optic white pro series toothpaste 5% hp whitening vividly fresh,Was $20.99, $ 18 00 ,Save $2.99,14.24,Health & Body
colgate optic white pro series toothpaste 5% hp teeth whitening,Was $20.99, $ 18 00 ,Save $2.99,14.24,Health & Body
ruffino sparkling rose,Was $20.99, $ 18 00 ,Save $2.99,14.24,Beer & Wine
oyster bay sparkling cuvee brut,Was $20.99, $ 18 00 ,Save $2.99,14.24,Beer & Wine
oyster bay sparkling cuvee rose,Was $20.99, $ 18 00 ,Save $2.99,14.24,Beer & Wine
taylors promised land cabernet merlot,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
polident daily cleanser for dentures 3 minute,Was $13.99, $ 12 00 ,Save $1.99,14.22,Unknown
