item_name,full_price,new_price,discount,amount_saved,category
remedy kombucha wild berry,Was $4.30, $ 2 80 ,Save $1.50,34.88,
uncle tobys delicious blends rolled oats blueberry & coconut,Was $6.90, $ 4 50 ,Save $2.40,34.78,
uncle tobys rolled oats raspberry almond & vanilla,Was $6.90, $ 4 50 ,Save $2.40,34.78,
chelsea raw sugar,Was $4.90, $ 3 20 ,Save $1.70,34.69,
mountain dew soft drink,Was $3.50, $ 2 30 ,Save $1.20,34.29,
mountain dew soft drink live wire,Was $3.50, $ 2 30 ,Save $1.20,34.29,
pepsi max soft drink raspberry cola,Was $3.50, $ 2 30 ,Save $1.20,34.29,
mountain dew soft drink passionfruit frenzy,Was $3.50, $ 2 30 ,Save $1.20,34.29,
pepsi max soft drink cola max,Was $3.50, $ 2 30 ,Save $1.20,34.29,
pepsi soft drink cola,Was $3.50, $ 2 30 ,Save $1.20,34.29,
pepsi max soft drink vanilla,Was $3.50, $ 2 30 ,Save $1.20,34.29,
mountain dew soft drink code red,Was $3.50, $ 2 30 ,Save $1.20,34.29,
7up soft drink lemonade,Was $3.50, $ 2 30 ,Save $1.20,34.29,
7up soft drink light lemonade,Was $3.50, $ 2 30 ,Save $1.20,34.29,
mountain dew soft drink no sugar,Was $3.50, $ 2 30 ,Save $1.20,34.29,
moccona classic instant freeze dried coffee dark roast,Was $12.00, $ 7 90 ,Save $4.10,34.17,Pantry
'moccona specialty blend instant freeze dried coffee indulgence,Was $12.00, $ 7 90 ,Save $4.10,34.17,Pantry
moccona french style instant freeze dried coffee,Was $12.00, $ 7 90 ,Save $4.10,34.17,Pantry
moccona flavour infused instant freeze dried coffee caramel,Was $12.00, $ 7 90 ,Save $4.10,34.17,Pantry
barker's tomato sauce original,Was $5.00, $ 3 30 ,Save $1.70,34.0,Pantry
babydoll rose,Was $19.49, $ 12 90 ,Save $6.59,33.81,Beer & Wine
babydoll sauvignon blanc marlborough,Was $19.49, $ 12 90 ,Save $6.59,33.81,Beer & Wine
babydoll pinot gris,Was $19.49, $ 12 90 ,Save $6.59,33.81,Beer & Wine
babydoll chardonnay,Was $19.49, $ 12 90 ,Save $6.59,33.81,
ghiotti salami sliced chorizo extra,Was $9.80, $ 6 50 ,Save $3.30,33.67,Fridge & Deli
ghiotti prosciutto fiesta espanola,Was $14.90, $ 9 90 ,Save $5.00,33.56,
real foods corn thins crispbread minis original,Was $3.00, $ 2 00 ,Save $1.00,33.33,Bakery
olina's bakehouse crispbread rye & sprouted seeded,Was $6.00, $ 4 00 ,Save $2.00,33.33,Bakery
schweppes drink mixers soda with a twist of lemon,Was $4.20, $ 2 80 ,Save $1.40,33.33,
moccona café classics coffee sachets double shot latte,Was $7.50, $ 5 00 ,Save $2.50,33.33,Pantry
moccona cadbury coffee sachets mocha,Was $7.50, $ 5 00 ,Save $2.50,33.33,Pantry
vege deli crisps potato chips original,Was $6.00, $ 4 00 ,Save $2.00,33.33,Pantry
olina's bakehouse crispbread wholemeal & sprouted seeded,Was $6.00, $ 4 00 ,Save $2.00,33.33,Bakery
vege deli crisps potato chips purple sweet potato,Was $6.00, $ 4 00 ,Save $2.00,33.33,Pantry
yoplait vigueur dairy food 6pk caramel choc,Was $7.50, $ 5 00 ,Save $2.50,33.33,
gullon sugar free biscuits digestive,Was $6.00, $ 4 00 ,Save $2.00,33.33,Pantry
schweppes drink mixers diet ginger ale,Was $4.20, $ 2 80 ,Save $1.40,33.33,
moccona cadbury coffee sachets hazelnut mocha,Was $7.50, $ 5 00 ,Save $2.50,33.33,Pantry
pringles potato chips cheese,Was $4.50, $ 3 00 ,Save $1.50,33.33,Pantry
kelloggs crunchy nut cereal clusters,Was $9.00, $ 6 00 ,Save $3.00,33.33,Pantry
schweppes drink mixers diet indian tonic water,Was $4.20, $ 2 80 ,Save $1.40,33.33,
yoplait vigueur dairy food 6pk choc mudcake,Was $7.50, $ 5 00 ,Save $2.50,33.33,
dove beauty cream soap bar original,Was $4.50, $ 3 00 ,Save $1.50,33.33,Health & Body
moccona café classics coffee sachets caramel latte,Was $7.50, $ 5 00 ,Save $2.50,33.33,Pantry
moccona café classics coffee sachets coconut latte,Was $7.50, $ 5 00 ,Save $2.50,33.33,Pantry
pringles potato chips salt & vinegar,Was $4.50, $ 3 00 ,Save $1.50,33.33,Pantry
